City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
19,Grajau,BR,78.84,overcast clouds,-5.8194,-46.1386,Torre Palace Hotel
21,Gondar,ET,71.64,light rain,12.6,37.4667,Hotel Dashen
22,Tolanaro,MG,78.87,scattered clouds,-25.0319,46.9987,Hôtel Mahavokey
23,Port Elizabeth,ZA,75.09,scattered clouds,-33.918,25.5701,Waterford Hotel
25,Wailua Homesteads,US,70.59,overcast clouds,22.0669,-159.378,Hilton Garden Inn Kauai Wailua Bay
32,Waingapu,ID,79.74,scattered clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
44,Matoury,GF,75.16,broken clouds,4.8483,-52.3317,La Marmotte
57,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
64,Maralal,KE,71.44,light rain,1.0968,36.698,Peacock Rest House
65,Port Mathurin,MU,79.16,few clouds,-19.6833,63.4167,Escale Vacances
72,Kingston,JM,79.75,few clouds,17.997,-76.7936,Aphrodite Hotel
74,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
78,Guayaramerin,BO,75.87,broken clouds,-10.8368,-65.3614,Hotel K d' Oro
82,Afaahiti,PF,75.07,light rain,-17.75,-149.2833,Omati Lodge
88,Huarmey,PE,75.0,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
104,El Jadid,MA,73.17,broken clouds,33.2549,-8.506,Hotel El Jadida فندق الجديدة
110,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
116,Lethem,GY,78.67,broken clouds,3.3803,-59.7968,Hotel Amazonas
121,Meulaboh,ID,79.43,light rain,4.1363,96.1285,Hotel Meuligou
127,Quang Ngai,VN,77.61,scattered clouds,15.1167,108.8,Ngoc Anh
133,Catalao,BR,72.07,clear sky,-18.1658,-47.9464,Lindoya
138,Pacasmayo,PE,74.64,broken clouds,-7.4006,-79.5714,Playa Linda
140,Almeirim,BR,79.36,broken clouds,-1.5233,-52.5817,Kapejar Hotel
149,Sao Felix Do Xingu,BR,73.8,broken clouds,-6.6447,-51.995,Hotel Terraço
159,Remire-Montjoly,GF,75.24,broken clouds,4.9167,-52.2667,Complexe Belova
161,Bagua Grande,PE,72.39,overcast clouds,-5.7561,-78.4411,Hotel Adria'n
171,Kupang,ID,79.38,few clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
180,Yasuj,IR,72.95,broken clouds,30.6682,51.588,هتل ارم
191,Camocim,BR,79.52,overcast clouds,-2.9022,-40.8411,Hotel Camocim
207,Colares,PT,79.79,light rain,38.7992,-9.4469,Hotel Arribas
208,Lihue,US,71.19,overcast clouds,21.9789,-159.3672,Kauai Palms
209,Kuvandyk,RU,74.39,scattered clouds,51.4781,57.3552,Отдыхающая локомотивных бригад
